# ep	d_lat	d_lon	fecha
ESQU	0.014	-0.011	2016-08-10
IGM1	0.004	-0.004	2016-08-10
LHCL	0.006	-0.021	2016-08-10
LPGS	0.009	-0.003	2016-08-10
MA01	-0.002	-0.007	2016-08-10
MZAC	0.023	-0.059	2016-08-10
RWSN	0.007	0.056	2016-08-10
SL01	-0.076	-0.060	2016-08-10
SRLP	0.006	-0.019	2016-08-10
TUCU	-0.008	0.002	2016-08-10
UCOR	-0.001	-0.023	2016-08-10
UNRO	0.001	-0.003	2016-08-10
UNSA	0.000	-0.021	2016-08-10
UYTA	0.009	0.005	2016-08-10
VBCA	0.009	-0.018	2016-08-10
CORD	-0.008	-0.012	2016-08-10
GUAY	0.007	-0.008	2016-08-10
MPL2	0.006	0.002	2016-08-10
NESA	-0.003	-0.033	2016-08-10
PEJO	-0.005	0.007	2016-08-10
PRNA	0.014	-0.014	2016-08-10
RECO	0.007	-0.011	2016-08-10
UYPA	0.008	-0.012	2016-08-10
UYSO	0.006	0.002	2016-08-10
