# ep	d_lat	d_lon	fecha
UCOR	-0.004	-0.008	2012-08-08
UNRO	-0.003	0.002	2012-08-08
UNSA	-0.005	-0.016	2012-08-08
UYTA	-0.002	0.002	2012-08-08
VBCA	0.004	-0.015	2012-08-08
GUAY	-0.002	-0.006	2012-08-08
MPL2	-0.001	-0.006	2012-08-08
NESA	-0.009	-0.035	2012-08-08
PRNA	0.005	-0.004	2012-08-08
UYPA	0.004	-0.002	2012-08-08
UYSO	-0.001	0.008	2012-08-08
ALUM	-0.006	0.005	2012-10-17
AZUL	-0.001	-0.006	2012-10-17
BCAR	-0.010	-0.007	2012-10-17
CATA	-0.013	0.001	2012-10-17
EBYP	-0.014	-0.002	2012-10-17
IGM1	-0.003	-0.002	2012-10-17
LHCL	-0.002	-0.017	2012-10-17
LPGS	-0.000	-0.001	2012-10-17
MA01	0.001	-0.021	2012-10-17
MZAC	0.002	0.008	2012-10-17
SL01	-0.084	-0.037	2012-10-17
SRLP	-0.000	-0.020	2012-10-17
TUCU	-0.007	0.002	2012-10-17
UCOR	-0.006	-0.011	2012-10-17
UNRO	-0.007	-0.000	2012-10-17
UNSA	-0.004	-0.020	2012-10-17
UYTA	-0.005	-0.001	2012-10-17
VBCA	0.003	-0.017	2012-10-17
GUAY	-0.004	-0.010	2012-10-17
MPL2	-0.004	-0.009	2012-10-17
NESA	-0.010	-0.038	2012-10-17
PRNA	0.004	-0.006	2012-10-17
UYPA	0.001	-0.004	2012-10-17
UYSO	-0.002	0.004	2012-10-17
ALUM	-0.004	0.001	2012-12-26
AZUL	0.004	-0.008	2012-12-26
BCAR	-0.005	-0.010	2012-12-26
CATA	-0.006	0.002	2012-12-26
EBYP	-0.008	-0.007	2012-12-26
IGM1	0.000	-0.003	2012-12-26
LHCL	0.003	-0.019	2012-12-26
LPGS	0.006	-0.004	2012-12-26
MA01	0.008	-0.019	2012-12-26
MZAC	0.007	0.007	2012-12-26
SL01	-0.081	-0.038	2012-12-26
SRLP	0.004	-0.022	2012-12-26
TUCU	-0.002	0.002	2012-12-26
UCOR	-0.002	-0.011	2012-12-26
UNRO	-0.003	-0.001	2012-12-26
UNSA	-0.000	-0.021	2012-12-26
UYTA	0.000	-0.007	2012-12-26
VBCA	0.011	-0.018	2012-12-26
GUAY	0.001	-0.012	2012-12-26
MPL2	0.002	-0.011	2012-12-26
NESA	-0.004	-0.039	2012-12-26
PRNA	0.006	-0.008	2012-12-26
UYPA	0.008	-0.009	2012-12-26
UYSO	0.003	0.001	2012-12-26
ALUM	-0.004	0.004	2013-03-06
BCAR	-0.007	-0.004	2013-03-06
CATA	-0.008	0.006	2013-03-06
EBYP	-0.006	-0.002	2013-03-06
ESQU	0.000	-0.006	2013-03-06
IGM1	0.000	0.001	2013-03-06
LPGS	0.004	0.003	2013-03-06
MA01	0.004	-0.016	2013-03-06
MZAC	0.006	0.008	2013-03-06
SL01	-0.082	-0.035	2013-03-06
SRLP	-0.002	-0.016	2013-03-06
TUCU	-0.004	0.005	2013-03-06
UCOR	-0.003	-0.007	2013-03-06
UNRO	-0.004	0.002	2013-03-06
UNSA	0.001	-0.016	2013-03-06
UYTA	-0.001	-0.000	2013-03-06
VBCA	0.008	-0.015	2013-03-06
GUAY	0.001	-0.008	2013-03-06
MPL2	0.001	-0.006	2013-03-06
NESA	-0.005	-0.035	2013-03-06
PRNA	0.020	0.002	2013-03-06
UYPA	0.006	-0.004	2013-03-06
UYSO	-0.000	0.006	2013-03-06
ALUM	-0.006	0.001	2013-05-15
AZUL	-0.002	-0.006	2013-05-15
BCAR	-0.011	-0.006	2013-05-15
CATA	-0.013	0.002	2013-05-15
EBYP	-0.009	-0.005	2013-05-15
ESQU	-0.003	-0.005	2013-05-15
IGM1	-0.001	-0.003	2013-05-15
LHCL	-0.002	-0.019	2013-05-15
LPGS	0.000	-0.001	2013-05-15
MZAC	0.003	0.004	2013-05-15
SL01	-0.085	-0.038	2013-05-15
SRLP	-0.003	-0.020	2013-05-15
TUCU	-0.005	0.005	2013-05-15
UCOR	-0.004	-0.011	2013-05-15
UNRO	-0.007	0.001	2013-05-15
UNSA	-0.002	-0.019	2013-05-15
UYTA	-0.003	-0.001	2013-05-15
VBCA	0.003	-0.018	2013-05-15
GUAY	-0.002	-0.010	2013-05-15
MPL2	-0.002	-0.008	2013-05-15
